Indicator Name,Indicator Code,Indicator Name and Definition
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"NY.GNP.PCAP.CD - GNI per capita, Atlas method (current US$)"
"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,"NY.GNP.PCAP.PP.KD - GNI per capita, PPP (constant 2021 international $)"
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,"NY.GNP.PCAP.PP.CD - GNI per capita, PPP (current international $)"
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,"NY.GNP.ATLS.CD - GNI, Atlas method (current US$)"
"GNI, PPP (constant 2021 international $)",NY.GNP.MKTP.PP.KD,"NY.GNP.MKTP.PP.KD - GNI, PPP (constant 2021 international $)"
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,"NY.GNP.MKTP.PP.CD - GNI, PPP (current international $)"
GNI: linked series (current LCU),NY.GNP.MKTP.CN.AD,NY.GNP.MKTP.CN.AD - GNI: linked series (current LCU)
Goods and services expense (% of expense),GC.XPN.GSRV.ZS,GC.XPN.GSRV.ZS - Goods and services expense (% of expense)
Goods and services expense (current LCU),GC.XPN.GSRV.CN,GC.XPN.GSRV.CN - Goods and services expense (current LCU)
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,"BX.GSR.MRCH.CD - Goods exports (BoP, current US$)"
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,"BM.GSR.MRCH.CD - Goods imports (BoP, current US$)"
Government Effectiveness: Estimate,GE.EST,GE.EST - Government Effectiveness: Estimate
Government Effectiveness: Number of Sources,GE.NO.SRC,GE.NO.SRC - Government Effectiveness: Number of Sources
Government Effectiveness: Percentile Rank,GE.PER.RNK,GE.PER.RNK - Government Effectiveness: Percentile Rank
"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,"GE.PER.RNK.LOWER - Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval"
"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,"GE.PER.RNK.UPPER - Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval"
Government Effectiveness: Standard Error,GE.STD.ERR,GE.STD.ERR - Government Effectiveness: Standard Error
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"SE.XPD.TOTL.GD.ZS - Government expenditure on education, total (% of GDP)"
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,"SE.XPD.TOTL.GB.ZS - Government expenditure on education, total (% of government expenditure)"
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,"SE.XPD.PRIM.PC.ZS - Government expenditure per student, primary (% of GDP per capita)"
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,"SE.XPD.SECO.PC.ZS - Government expenditure per student, secondary (% of GDP per capita)"
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,"SE.XPD.TERT.PC.ZS - Government expenditure per student, tertiary (% of GDP per capita)"
Grants and other revenue (% of revenue),GC.REV.GOTR.ZS,GC.REV.GOTR.ZS - Grants and other revenue (% of revenue)
Grants and other revenue (current LCU),GC.REV.GOTR.CN,GC.REV.GOTR.CN - Grants and other revenue (current LCU)
"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,"BX.GRT.EXTA.CD.WD - Grants, excluding technical cooperation (BoP, current US$)"
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,NE.GDI.TOTL.ZS - Gross capital formation (% of GDP)
Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,NE.GDI.TOTL.KD.ZG - Gross capital formation (annual % growth)
Gross capital formation (constant 2015 US$),NE.GDI.TOTL.KD,NE.GDI.TOTL.KD - Gross capital formation (constant 2015 US$)
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,NE.GDI.TOTL.KN - Gross capital formation (constant LCU)
Gross capital formation (current LCU),NE.GDI.TOTL.CN,NE.GDI.TOTL.CN - Gross capital formation (current LCU)
Gross capital formation (current US$),NE.GDI.TOTL.CD,NE.GDI.TOTL.CD - Gross capital formation (current US$)
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,NY.GDY.TOTL.KN - Gross domestic income (constant LCU)
Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,NY.GDS.TOTL.ZS - Gross domestic savings (% of GDP)
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,NY.GDS.TOTL.CN - Gross domestic savings (current LCU)
Gross domestic savings (current US$),NY.GDS.TOTL.CD,NY.GDS.TOTL.CD - Gross domestic savings (current US$)
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,NE.GDI.FTOT.ZS - Gross fixed capital formation (% of GDP)
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,NE.GDI.FTOT.KD.ZG - Gross fixed capital formation (annual % growth)
Gross fixed capital formation (constant 2015 US$),NE.GDI.FTOT.KD,NE.GDI.FTOT.KD - Gross fixed capital formation (constant 2015 US$)
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,NE.GDI.FTOT.KN - Gross fixed capital formation (constant LCU)
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,NE.GDI.FTOT.CN - Gross fixed capital formation (current LCU)
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,NE.GDI.FTOT.CD - Gross fixed capital formation (current US$)
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,"NE.GDI.FPRV.ZS - Gross fixed capital formation, private sector (% of GDP)"
"Gross fixed capital formation, private sector (current LCU)",NE.GDI.FPRV.CN,"NE.GDI.FPRV.CN - Gross fixed capital formation, private sector (current LCU)"
"Gross intake ratio in first grade of primary education, female (% of relevant age group)",SE.PRM.GINT.FE.ZS,"SE.PRM.GINT.FE.ZS - Gross intake ratio in first grade of primary education, female (% of relevant age group)"
"Gross intake ratio in first grade of primary education, male (% of relevant age group)",SE.PRM.GINT.MA.ZS,"SE.PRM.GINT.MA.ZS - Gross intake ratio in first grade of primary education, male (% of relevant age group)"
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,"SE.PRM.GINT.ZS - Gross intake ratio in first grade of primary education, total (% of relevant age group)"
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,NE.DAB.TOTL.ZS - Gross national expenditure (% of GDP)
Gross national expenditure (constant 2015 US$),NE.DAB.TOTL.KD,NE.DAB.TOTL.KD - Gross national expenditure (constant 2015 US$)
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,NE.DAB.TOTL.KN - Gross national expenditure (constant LCU)
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,NE.DAB.TOTL.CN - Gross national expenditure (current LCU)
Gross national expenditure (current US$),NE.DAB.TOTL.CD,NE.DAB.TOTL.CD - Gross national expenditure (current US$)
Gross national expenditure deflator (base year varies by country),NE.DAB.DEFL.ZS,NE.DAB.DEFL.ZS - Gross national expenditure deflator (base year varies by country)
Gross savings (% of GDP),NY.GNS.ICTR.ZS,NY.GNS.ICTR.ZS - Gross savings (% of GDP)
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,NY.GNS.ICTR.GN.ZS - Gross savings (% of GNI)
Gross savings (current LCU),NY.GNS.ICTR.CN,NY.GNS.ICTR.CN - Gross savings (current LCU)
Gross savings (current US$),NY.GNS.ICTR.CD,NY.GNS.ICTR.CD - Gross savings (current US$)
Gross value added at basic prices (GVA) (constant 2015 US$),NY.GDP.FCST.KD,NY.GDP.FCST.KD - Gross value added at basic prices (GVA) (constant 2015 US$)
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,NY.GDP.FCST.KN - Gross value added at basic prices (GVA) (constant LCU)
Gross value added at basic prices (GVA) (current LCU),NY.GDP.FCST.CN,NY.GDP.FCST.CN - Gross value added at basic prices (GVA) (current LCU)
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,NY.GDP.FCST.CD - Gross value added at basic prices (GVA) (current US$)
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,TX.VAL.TECH.MF.ZS - High-technology exports (% of manufactured exports)
High-technology exports (current US$),TX.VAL.TECH.CD,TX.VAL.TECH.CD - High-technology exports (current US$)
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,"SH.MED.BEDS.ZS - Hospital beds (per 1,000 people)"
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,NE.CON.PRVT.ZS - Households and NPISHs final consumption expenditure (% of GDP)
Households and NPISHs Final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG,NE.CON.PRVT.KD.ZG - Households and NPISHs Final consumption expenditure (annual % growth)
Households and NPISHs Final consumption expenditure (constant 2015 US$),NE.CON.PRVT.KD,NE.CON.PRVT.KD - Households and NPISHs Final consumption expenditure (constant 2015 US$)
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,NE.CON.PRVT.KN - Households and NPISHs Final consumption expenditure (constant LCU)
Households and NPISHs Final consumption expenditure (current LCU),NE.CON.PRVT.CN,NE.CON.PRVT.CN - Households and NPISHs Final consumption expenditure (current LCU)
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,NE.CON.PRVT.CD - Households and NPISHs Final consumption expenditure (current US$)
Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,NE.CON.PRVT.PC.KD - Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,NE.CON.PRVT.PC.KD.ZG - Households and NPISHs Final consumption expenditure per capita growth (annual %)
"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)",NE.CON.PRVT.PP.KD,"NE.CON.PRVT.PP.KD - Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,"NE.CON.PRVT.PP.CD - Households and NPISHs Final consumption expenditure, PPP (current international $)"
Households and NPISHs final consumption expenditure: linked series (current LCU),NE.CON.PRVT.CN.AD,NE.CON.PRVT.CN.AD - Households and NPISHs final consumption expenditure: linked series (current LCU)
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,HD.HCI.OVRL - Human capital index (HCI) (scale 0-1)
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,"HD.HCI.OVRL.FE - Human capital index (HCI), female (scale 0-1)"
"Human capital index (HCI), female, lower bound (scale 0-1)",HD.HCI.OVRL.LB.FE,"HD.HCI.OVRL.LB.FE - Human capital index (HCI), female, lower bound (scale 0-1)"
"Human capital index (HCI), female, upper bound (scale 0-1)",HD.HCI.OVRL.UB.FE,"HD.HCI.OVRL.UB.FE - Human capital index (HCI), female, upper bound (scale 0-1)"
"Human capital index (HCI), lower bound (scale 0-1)",HD.HCI.OVRL.LB,"HD.HCI.OVRL.LB - Human capital index (HCI), lower bound (scale 0-1)"
"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA,"HD.HCI.OVRL.MA - Human capital index (HCI), male (scale 0-1)"
"Human capital index (HCI), male, lower bound (scale 0-1)",HD.HCI.OVRL.LB.MA,"HD.HCI.OVRL.LB.MA - Human capital index (HCI), male, lower bound (scale 0-1)"
"Human capital index (HCI), male, upper bound (scale 0-1)",HD.HCI.OVRL.UB.MA,"HD.HCI.OVRL.UB.MA - Human capital index (HCI), male, upper bound (scale 0-1)"
"Human capital index (HCI), upper bound (scale 0-1)",HD.HCI.OVRL.UB,"HD.HCI.OVRL.UB - Human capital index (HCI), upper bound (scale 0-1)"
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,"DT.DOD.MWBG.CD - IBRD loans and IDA credits (DOD, current US$)"
ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,TX.VAL.ICTG.ZS.UN - ICT goods exports (% of total goods exports)
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,TM.VAL.ICTG.ZS.UN - ICT goods imports (% total goods imports)
"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,"BX.GSR.CCIS.ZS - ICT service exports (% of service exports, BoP)"
"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,"BX.GSR.CCIS.CD - ICT service exports (BoP, current US$)"
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,IQ.CPA.IRAI.XQ - IDA resource allocation index (1=low to 6=high)
"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,"DT.NFL.NIFC.CD - IFC, private nonguaranteed (NFL, US$)"
"IMF repurchases and charges (TDS, current US$)",DT.TDS.DIMF.CD,"DT.TDS.DIMF.CD - IMF repurchases and charges (TDS, current US$)"
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,"SH.IMM.IDPT - Immunization, DPT (% of children ages 12-23 months)"
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,"SH.IMM.HEPB - Immunization, HepB3 (% of one-year-old children)"
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"SH.IMM.MEAS - Immunization, measles (% of children ages 12-23 months)"
Import unit value index (2015 = 100),TM.UVI.MRCH.XD.WD,TM.UVI.MRCH.XD.WD - Import unit value index (2015 = 100)
Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,TM.VAL.MRCH.XD.WD - Import value index (2015 = 100)
Import volume index (2015 = 100),TM.QTY.MRCH.XD.WD,TM.QTY.MRCH.XD.WD - Import volume index (2015 = 100)
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,NE.IMP.GNFS.ZS - Imports of goods and services (% of GDP)
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,NE.IMP.GNFS.KD.ZG - Imports of goods and services (annual % growth)
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,"BM.GSR.GNFS.CD - Imports of goods and services (BoP, current US$)"
Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,NE.IMP.GNFS.KD - Imports of goods and services (constant 2015 US$)
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,NE.IMP.GNFS.KN - Imports of goods and services (constant LCU)
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,NE.IMP.GNFS.CN - Imports of goods and services (current LCU)
Imports of goods and services (current US$),NE.IMP.GNFS.CD,NE.IMP.GNFS.CD - Imports of goods and services (current US$)
"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,"BM.GSR.TOTL.CD - Imports of goods, services and primary income (BoP, current US$)"
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3,"SH.HIV.INCD.YG.P3 - Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)"
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,"SH.HIV.INCD.ZS - Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)"
"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,"SH.HIV.INCD.TL.P3 - Incidence of HIV, all (per 1,000 uninfected population)"
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,"SH.MLR.INCD.P3 - Incidence of malaria (per 1,000 population at risk)"
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,"SH.TBS.INCD - Incidence of tuberculosis (per 100,000 people)"
Income share held by fourth 20%,SI.DST.04TH.20,SI.DST.04TH.20 - Income share held by fourth 20%
Income share held by highest 10%,SI.DST.10TH.10,SI.DST.10TH.10 - Income share held by highest 10%
Income share held by highest 20%,SI.DST.05TH.20,SI.DST.05TH.20 - Income share held by highest 20%
Income share held by lowest 10%,SI.DST.FRST.10,SI.DST.FRST.10 - Income share held by lowest 10%
Income share held by lowest 20%,SI.DST.FRST.20,SI.DST.FRST.20 - Income share held by lowest 20%
Income share held by second 20%,SI.DST.02ND.20,SI.DST.02ND.20 - Income share held by second 20%
Income share held by third 20%,SI.DST.03RD.20,SI.DST.03RD.20 - Income share held by third 20%
Individuals using the Internet (% of population),IT.NET.USER.ZS,IT.NET.USER.ZS - Individuals using the Internet (% of population)
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,"IT.NET.USER.FE.ZS - Individuals using the Internet, female (% of female population)"
"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,"IT.NET.USER.MA.ZS - Individuals using the Internet, male (% of male population)"
"Industrial design applications, nonresident, by count",IP.IDS.NRCT,"IP.IDS.NRCT - Industrial design applications, nonresident, by count"
"Industrial design applications, resident, by count",IP.IDS.RSCT,"IP.IDS.RSCT - Industrial design applications, resident, by count"
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,"NV.IND.TOTL.ZS - Industry (including construction), value added (% of GDP)"
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,"NV.IND.TOTL.KD.ZG - Industry (including construction), value added (annual % growth)"
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,"NV.IND.TOTL.KD - Industry (including construction), value added (constant 2015 US$)"
"Industry (including construction), value added (constant LCU)",NV.IND.TOTL.KN,"NV.IND.TOTL.KN - Industry (including construction), value added (constant LCU)"
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,"NV.IND.TOTL.CN - Industry (including construction), value added (current LCU)"
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,"NV.IND.TOTL.CD - Industry (including construction), value added (current US$)"
