Indicator Name,Indicator Code,Category,Potential_Categories,Enhanced_Category
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Healthcare,['Healthcare'],Healthcare
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Healthcare,"['Healthcare', 'Demographics']",Healthcare
Import unit value index (2015 = 100),TM.UVI.MRCH.XD.WD,Economic,['Economic'],Economic
Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,Economic,['Economic'],Economic
Import volume index (2015 = 100),TM.QTY.MRCH.XD.WD,Economic,['Economic'],Economic
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Economic,['Economic'],Economic
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,Economic,['Economic'],Economic
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,Economic,"['Economic', 'Financial Services']",Financial Services
Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,Economic,['Economic'],Economic
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Economic,['Economic'],Economic
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,Economic,['Economic'],Economic
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Economic,['Economic'],Economic
"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,Economic,"['Economic', 'Education', 'Financial Services']",Financial Services
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Healthcare,['Healthcare'],Healthcare
Income share held by fourth 20%,SI.DST.04TH.20,Economic,['Economic'],Economic
Income share held by highest 10%,SI.DST.10TH.10,Economic,['Economic'],Economic
Income share held by highest 20%,SI.DST.05TH.20,Economic,['Economic'],Economic
Income share held by lowest 10%,SI.DST.FRST.10,Economic,['Economic'],Economic
Income share held by lowest 20%,SI.DST.FRST.20,Economic,['Economic'],Economic
Income share held by second 20%,SI.DST.02ND.20,Economic,['Economic'],Economic
Income share held by third 20%,SI.DST.03RD.20,Economic,['Economic'],Economic
Individuals using the Internet (% of population),IT.NET.USER.ZS,Infrastructure,"['Infrastructure', 'Demographics', 'Technology']",Infrastructure
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Infrastructure,"['Infrastructure', 'Demographics', 'Gender', 'Technology']",Gender
"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,Infrastructure,"['Infrastructure', 'Demographics', 'Technology']",Infrastructure
"Industrial design applications, nonresident, by count",IP.IDS.NRCT,Manufacturing,['Manufacturing'],Manufacturing
"Industrial design applications, resident, by count",IP.IDS.RSCT,Manufacturing,['Manufacturing'],Manufacturing
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Economic,"['Economic', 'Infrastructure']",Economic
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Infrastructure,['Infrastructure'],Infrastructure
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Infrastructure,['Infrastructure'],Infrastructure
"Industry (including construction), value added (constant LCU)",NV.IND.TOTL.KN,Infrastructure,['Infrastructure'],Infrastructure
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,Infrastructure,['Infrastructure'],Infrastructure
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,Infrastructure,['Infrastructure'],Infrastructure
"Industry (including construction), value added per worker (constant 2015 US$)",NV.IND.EMPL.KD,Infrastructure,['Infrastructure'],Infrastructure
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Economic,['Economic'],Economic
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Economic,['Economic'],Economic
"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,Economic,['Economic'],Economic
Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,Economic,['Economic'],Economic
Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,Economic,"['Economic', 'Financial Services']",Economic
Insurance and financial services (% of commercial service imports),TM.VAL.INSF.ZS.WT,Economic,"['Economic', 'Financial Services']",Economic
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,Economic,"['Economic', 'Financial Services']",Financial Services
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,Economic,"['Economic', 'Financial Services']",Financial Services
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Law & Justice,['Law & Justice'],Law & Justice
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Gender,"['Gender', 'Law & Justice']",Gender
"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,Law & Justice,['Law & Justice'],Law & Justice
Interest payments (% of expense),GC.XPN.INTP.ZS,Economic,"['Economic', 'Financial Services']",Financial Services
Interest payments (% of revenue),GC.XPN.INTP.RV.ZS,Economic,"['Economic', 'Financial Services']",Financial Services
Interest payments (current LCU),GC.XPN.INTP.CN,Financial Services,['Financial Services'],Financial Services
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Economic,"['Economic', 'Financial Services']",Financial Services
"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,Infrastructure,"['Infrastructure', 'Military', 'Technology']",Infrastructure
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Other,[],Other
"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,Infrastructure,"['Infrastructure', 'Military', 'Technology']",Infrastructure
International migrant stock (% of population),SM.POP.TOTL.ZS,Demographics,['Demographics'],Demographics
"International migrant stock, total",SM.POP.TOTL,Demographics,['Demographics'],Demographics
"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,Economic,"['Economic', 'Tourism & Travel']",Tourism & Travel
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Economic,"['Economic', 'Tourism & Travel']",Tourism & Travel
"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,Economic,"['Economic', 'Infrastructure', 'Tourism & Travel']",Tourism & Travel
"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,Economic,"['Economic', 'Tourism & Travel']",Tourism & Travel
"International tourism, number of arrivals",ST.INT.ARVL,Tourism & Travel,['Tourism & Travel'],Tourism & Travel
"International tourism, number of departures",ST.INT.DPRT,Tourism & Travel,['Tourism & Travel'],Tourism & Travel
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Economic,"['Economic', 'Tourism & Travel']",Tourism & Travel
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Tourism & Travel,['Tourism & Travel'],Tourism & Travel
"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,Infrastructure,"['Infrastructure', 'Tourism & Travel']",Tourism & Travel
"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,Tourism & Travel,['Tourism & Travel'],Tourism & Travel
Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,Economic,"['Economic', 'Climate']",Economic
Investment in ICT with private participation (current US$),IE.PPI.ICTI.CD,Economic,"['Economic', 'Infrastructure', 'Technology']",Economic
Investment in transport with private participation (current US$),IE.PPI.TRAN.CD,Economic,"['Economic', 'Infrastructure']",Economic
Investment in water and sanitation with private participation (current US$),IE.PPI.WATR.CD,Economic,"['Economic', 'Healthcare', 'Infrastructure']",Economic
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Demographics,"['Demographics', 'Labor', 'Gender']",Gender
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Demographics,"['Demographics', 'Labor', 'Gender']",Gender
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Demographics,"['Demographics', 'Labor', 'Gender']",Gender
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Demographics,"['Demographics', 'Labor', 'Gender']",Gender
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Demographics,"['Demographics', 'Labor', 'Gender']",Gender
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Demographics,"['Demographics', 'Labor']",Demographics
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,Education,"['Education', 'Demographics', 'Labor']",Education
"Labor force with advanced education, female (% of female working-age population with advanced education)",SL.TLF.ADVN.FE.ZS,Education,"['Education', 'Demographics', 'Labor', 'Gender']",Education
"Labor force with advanced education, male (% of male working-age population with advanced education)",SL.TLF.ADVN.MA.ZS,Education,"['Education', 'Demographics', 'Labor']",Education
Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,Education,"['Education', 'Demographics', 'Labor']",Education
"Labor force with basic education, female (% of female working-age population with basic education)",SL.TLF.BASC.FE.ZS,Education,"['Education', 'Demographics', 'Labor', 'Gender']",Education
"Labor force with basic education, male (% of male working-age population with basic education)",SL.TLF.BASC.MA.ZS,Education,"['Education', 'Demographics', 'Labor']",Education
Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,Education,"['Education', 'Demographics', 'Labor']",Education
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",SL.TLF.INTM.FE.ZS,Education,"['Education', 'Demographics', 'Labor', 'Gender']",Education
"Labor force with intermediate education, male (% of male working-age population with intermediate education)",SL.TLF.INTM.MA.ZS,Education,"['Education', 'Demographics', 'Labor']",Education
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Labor,"['Labor', 'Gender']",Gender
"Labor force, total",SL.TLF.TOTL.IN,Labor,['Labor'],Labor
Labor tax and contributions (% of commercial profits),IC.TAX.LABR.CP.ZS,Economic,"['Economic', 'Labor']",Economic
Land area (sq. km),AG.LND.TOTL.K2,Agriculture,['Agriculture'],Agriculture
Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,Agriculture,['Agriculture'],Agriculture
Land under cereal production (hectares),AG.LND.CREL.HA,Agriculture,['Agriculture'],Agriculture
"Lead time to export, median case (days)",LP.EXP.DURS.MD,Economic,['Economic'],Economic
"Lead time to import, median case (days)",LP.IMP.DURS.MD,Economic,['Economic'],Economic
Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),SE.LPV.PRIM,Poverty,"['Poverty', 'Education', 'Demographics', 'Labor']",Poverty
Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),SE.LPV.PRIM.FE,Poverty,"['Poverty', 'Education', 'Demographics', 'Labor', 'Gender']",Poverty
Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),SE.LPV.PRIM.MA,Poverty,"['Poverty', 'Education', 'Demographics', 'Labor']",Poverty
Lending interest rate (%),FR.INR.LEND,Economic,"['Economic', 'Financial Services']",Economic
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Infrastructure,"['Infrastructure', 'Natural Resources']",Infrastructure
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Healthcare,"['Healthcare', 'Demographics', 'Gender']",Gender
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Healthcare,"['Healthcare', 'Demographics']",Healthcare
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Healthcare,"['Healthcare', 'Demographics', 'Gender']",Healthcare
Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,Healthcare,"['Healthcare', 'Demographics', 'Gender']",Healthcare
Liner shipping connectivity index (maximum value in 2004 = 100),IS.SHP.GCNW.XQ,Economic,"['Economic', 'Infrastructure']",Economic
"Listed domestic companies, total",CM.MKT.LDOM.NO,Economic,['Economic'],Economic
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Education,"['Education', 'Demographics', 'Gender']",Education
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Education,"['Education', 'Demographics']",Education
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Education,"['Education', 'Demographics']",Education
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,Education,"['Education', 'Demographics', 'Gender']",Education
"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,Education,"['Education', 'Demographics', 'Gender']",Education
"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,Education,"['Education', 'Demographics']",Education
"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,Education,"['Education', 'Demographics']",Education
Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,Agriculture,['Agriculture'],Agriculture
Logistics performance index: Ability to track and trace consignments (1=low to 5=high),LP.LPI.TRAC.XQ,Infrastructure,['Infrastructure'],Infrastructure
Logistics performance index: Competence and quality of logistics services (1=low to 5=high),LP.LPI.LOGS.XQ,Infrastructure,['Infrastructure'],Infrastructure
Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),LP.LPI.ITRN.XQ,Infrastructure,['Infrastructure'],Infrastructure
